Age,Gender,Occupation,Political Affiliation,Geographic Location,Social Media Usage Frequency,Preferred Social Media,Political Content Exposure,Types of Political Content,Sources of Political Content,Recency of Exposure,Interactions Frequency,Political Content Topics,Perception of Accuracy,Awareness of Algorithms,Perception of Relevance,Personal Impact,Trust in Social Media,Concerns about Algorithms,Overall Quality of Discourse,Views on Influence,Suggestions for Improvement
18,Male,Student,Conservative,Canada,2-4 hours,Instagram,Rarely,News articles,Mainstream media,Within the last hour,Several times a day,Economy,Not accurate,No,Not relevant,Strong impact,Do not trust,Very concerned,Low quality,Somewhat influential,Increase transparency
18,Female,Employed,Conservative,Canada,2-4 hours,Twitter,Several times a day,Opinion pieces,Independent bloggers,Longer than a week ago,Several times a day,Environment,Very accurate,Yes,Not relevant,Strong impact,Do not trust,Very concerned,High quality,Somewhat influential,Provide more diverse sources
18,Female,Employed,Conservative,USA,1-2 hours,Twitter,Few times a week,Opinion pieces,Political parties,Within the last week,Once a day,Economy,Very accurate,No,Somewhat relevant,Moderate impact,Do not trust,Not concerned,Moderate quality,Very influential,Provide more diverse sources
18,Male,Student,Liberal,Australia,1-2 hours,Twitter,Rarely,Opinion pieces,Political parties,Within the last hour,Few times a week,Environment,Not accurate,No,Very relevant,No impact,Trust a lot,Not concerned,Low quality,Not influential,Enhance user controls
18,Female,Employed,Liberal,UK,2-4 hours,Twitter,Several times a day,News articles,Mainstream media,Within the last week,Several times a day,Environment,Somewhat accurate,Yes,Very relevant,Strong impact,Trust somewhat,Somewhat concerned,Moderate quality,Not influential,Provide more diverse sources
18,Male,Employed,Liberal,UK,1-2 hours,Instagram,Several times a day,Memes,Independent bloggers,Within the last 24 hours,Several times a day,Immigration,Somewhat accurate,No,Not relevant,Strong impact,Trust somewhat,Very concerned,Moderate quality,Very influential,Improve fact-checking
18,Male,Unemployed,Liberal,Australia,4+ hours,Instagram,Rarely,Opinion pieces,Mainstream media,Within the last week,Several times a day,Environment,Very accurate,No,Somewhat relevant,Strong impact,Do not trust,Not concerned,Moderate quality,Somewhat influential,Increase transparency
18,Female,Student,Liberal,Canada,1-2 hours,Twitter,Once a day,Memes,Political parties,Within the last 24 hours,Once a day,Healthcare,Very accurate,Yes,Not relevant,No impact,Do not trust,Somewhat concerned,High quality,Very influential,Enhance user controls
18,Female,Employed,Conservative,UK,1-2 hours,Instagram,Several times a day,News articles,Political parties,Within the last 24 hours,Several times a day,Environment,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Not concerned,Low quality,Somewhat influential,Increase transparency
18,Female,Employed,Liberal,UK,0-1 hour,Instagram,Several times a day,News articles,Independent bloggers,Within the last week,Once a day,Immigration,Somewhat accurate,No,Very relevant,Strong impact,Do not trust,Very concerned,Moderate quality,Somewhat influential,Enhance user controls
